RegionName,California,Texas,New York,Florida,Illinois,Pennsylvania,Ohio,Michigan,Georgia,North Carolina,New Jersey,Virginia,Washington,Massachusetts,Indiana,Arizona,Tennessee,Missouri,Maryland,Wisconsin,Minnesota,Colorado,Alabama,South Carolina,Louisiana,Kentucky,Oregon,Oklahoma,Connecticut,Iowa,Mississippi,Arkansas,Kansas,Utah,Nevada,New Mexico,West Virginia,Nebraska,Idaho,Hawaii,Maine,New Hampshire,Rhode Island,Montana,Delaware,South Dakota,Alaska,North Dakota,Vermont,District of Columbia,Wyoming
Apr-96,159228,97402,138497,100264,137859,95422,92080,91412,102496,109711,160111,120081,140682,152457,108710,109461,91033,83333,149457,100537,102506,139612,82434,96782,84277,76300,131567,64405,147775,80777,73540,68696,76528,160006,156279,,61682,84338,122618,241512,97410,105342,125336,,130908,84501,124374,,108605,163920,
May-96,159034,97539,138393,100464,137349,95324,92395,92065,102845,110099,159791,120021,140803,152692,108598,110060,91478,83592,149572,100899,102595,140282,82501,96947,84573,76553,132385,64673,147888,81015,73690,68823,76702,160656,156545,,61685,84663,122492,239677,97031,105324,125174,,131023,84295,124883,,108421,163022,
Jun-96,158882,97655,138328,100692,137048,95277,92684,92733,103215,110538,159502,119946,141132,152946,108895,110600,91933,83823,149665,101399,102832,140953,82602,97214,84850,76811,133216,64872,147952,81239,73823,68937,76865,161191,156696,,61697,85040,122331,237670,96644,105498,124908,,131289,84317,125483,,108144,162383,
Jul-96,158789,97742,138248,100911,136625,95243,92941,93337,103560,111004,159296,119886,141520,153314,109091,111095,92403,84032,149707,101896,103086,141610,82738,97378,85023,77070,134049,65072,148017,81415,74007,69089,76997,161695,156944,,61701,85419,122183,235650,96364,105801,124666,,131746,84347,126024,,107829,161833,
Aug-96,158774,97863,138166,101108,137087,95282,93227,93897,103907,111460,159238,119932,141991,153807,108919,111555,92860,84262,149665,102368,103468,142284,82945,97581,85349,77340,134843,65241,148252,81598,74149,69255,77193,162103,157393,,61681,85810,122145,234324,96167,106052,124596,,132118,84370,126456,,107587,161377,
Sep-96,158800,98016,138129,101237,137790,95309,93524,94413,104247,111861,159277,120043,142377,154275,108792,111994,93254,84521,149708,102775,103801,142928,83074,97681,85646,77606,135599,65398,148128,81763,74273,69416,77357,162546,157891,,61609,86160,122146,233180,96084,106273,124777,,132585,84426,126808,,107480,161077,
Oct-96,158949,98196,138147,101371,139243,95390,93824,94924,104617,112333,159373,120203,142853,154839,107885,112441,93611,84847,149785,103188,104212,143539,83201,97890,86040,77838,136436,65542,148004,82045,74552,69594,77586,162971,158356,,61569,86548,122211,231988,96130,106518,124954,,133018,84450,126945,,107595,160661,
Nov-96,159126,98410,138205,101522,140430,95491,94121,95487,105003,112859,159450,120334,143424,155386,107014,112854,93985,85161,149894,103623,104640,144142,83299,98113,86351,78143,137306,65729,147771,82422,74888,69749,77822,163499,158595,,61598,87008,122291,230532,96166,106805,125073,,133348,84741,127111,,107787,160491,
Dec-96,159380,98649,138309,101711,141333,95623,94429,96101,105420,113422,159554,120465,144074,155980,105838,113239,94372,85447,150007,104061,105096,144743,83482,98396,86755,78463,138204,65966,147835,82853,75228,69945,78073,164010,158971,,61683,87377,122465,229281,96195,107209,125121,,133518,84901,127276,,108063,160275,
Jan-97,159396,98673,138285,101721,141640,95721,94726,96746,105758,113971,159801,120534,144615,156121,105297,113577,94699,85634,149945,104466,105486,145333,83590,98668,87153,78778,139024,66156,147463,83040,75356,70150,78308,164433,159324,,62026,87715,122796,228471,96594,107638,125263,,133672,85216,127328,,108353,160201,
Feb-97,159476,98674,138564,101785,141638,95825,95023,97339,106146,114512,160167,120678,145190,156367,104691,113949,95069,85753,149911,104818,105997,145829,83714,98988,87503,79009,139810,66361,147578,83105,75447,70443,78554,164772,159851,,62379,87952,123288,227796,97189,108256,125242,,133984,85151,127433,,108437,160438,
