RegionName,Apr-96,May-96,Jun-96,Jul-96,Aug-96,Sep-96,Oct-96,Nov-96,Dec-96,Jan-97,Feb-97,Mar-97,Apr-97,May-97,Jun-97,Jul-97,Aug-97,Sep-97,Oct-97,Nov-97,Dec-97,Jan-98,Feb-98,Mar-98,Apr-98,May-98,Jun-98,Jul-98,Aug-98,Sep-98,Oct-98,Nov-98,Dec-98,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20
Los Angeles County,176665,176803,176981,177209,177196,177035,176744,176658,176556,175919,175248,174734,174808,174948,175070,175411,176220,177075,178059,178679,179715,181366,183404,185207,186359,187498,188431,188900,189559,190886,192476,194197,195401,197024,198460,199944,201246,202548,204572,206926,208508,209505,210533,212100,213628,215073,216335,218020,219770,221816,223519,225150,227085,229106,230852,232544,234371,236111,237926,239662,241835,243762,245908,247691,249686,251494,253941,256213,258810,261340,264368,267541,271008,274318,277973,282126,286526,291111,295850,301052,306099,310600,314618,319067,322987,327440,331149,336374,341871,347599,352261,357930,364341,372308,379798,387312,395996,406120,416212,424654,432309,441315,450201,457513,464041,469756,478013,485550,493328,498740,505677,513737,522719,531677,541425,549304,555914,561924,566667,572327,575974,581773,585647,588549,590013,588158,586921,586509,588085,587546,585907,583864,583993,582419,580542,576893,572380,566762,559183,552356,545493,539713,532077,521056,507368,492713,480632,468868,458391,450010,442753,434638,423065,414407,408898,405738,402176,399073,396105,394632,394982,395717,396513,398020,401731,402654,400985,400884,402281,406286,405140,403716,400185,397717,395041,391365,389027,387523,387205,384966,382560,377607,376677,375411,374339,371710,368849,368507,367045,366310,365119,364573,364464,365711,367283,369227,371092,374016,378725,382694,388478,392717,400148,407594,416977,424591,432321,439988,449643,457884,463608,467986,470491,474609,475239,476798,476480,477863,478493,480649,480521,480919,481402,484182,487032,490724,494801,498737,500087,502487,504782,506889,509017,511381,514987,518071,522680,525184,528227,529877,534960,538216,541914,543592,546888,551086,555695,558106,559623,562598,565538,569010,571292,575328,578747,582906,586577,589823,592515,597420,602262,606834,611760,617364,621613,623408,624669,627203,628744,629771,630238,631000,630457,629933,627883,626474,625873,626679,628168,628884,630315,632262,634932,636988,640476,644151
Cook County,147381,146963,147022,146803,147107,147558,148240,149054,149606,150220,150729,151382,151393,152067,152006,152178,151061,149532,147455,145562,144524,143891,143626,143643,143864,143941,144057,144527,146139,148510,151545,154108,156025,157043,157900,158593,159452,160079,161341,162650,163664,164056,164297,164964,165781,167337,168931,170579,171964,173411,174712,175977,177252,178641,180007,181596,183267,184708,185902,187196,188678,190316,191822,193076,194389,195743,197329,198762,199943,201082,202307,203859,205036,206397,207510,209194,210797,212601,214064,215284,216713,218182,219954,221384,223037,224077,225272,226253,227580,228951,230482,232001,233463,235198,236767,238348,240027,242103,244403,246503,248547,250219,252137,254174,256391,258206,260022,261817,263911,266211,268634,271058,273323,276087,278576,281003,283070,284856,286780,288253,290008,290995,291957,292463,293086,293296,293451,293499,293994,294656,295812,295228,294969,293214,292827,291028,290421,288886,288391,287302,286026,285283,281586,281776,277074,276658,271331,270413,266126,264476,260250,257446,252404,247449,243678,239316,237153,233451,231782,229759,228517,225765,223945,221600,221928,220822,221229,218578,218712,216365,216469,212464,210593,207811,206599,204127,201888,199864,198000,196524,193596,192223,189625,189770,188261,187777,184710,183505,180813,179592,176646,176705,176335,176566,175481,173998,173243,172664,173548,174439,175554,177027,178678,179389,180629,181567,183983,186362,189118,191040,193820,195187,197169,197755,199489,200271,200401,200925,201907,202763,202886,203771,204204,204966,205359,205791,205782,206306,207906,209472,210014,210487,211117,211627,211619,211805,212523,213511,215198,216330,217084,217267,217897,219125,220199,220977,222038,223549,224610,225618,226293,227934,229242,230267,230781,231099,231898,232999,234040,234703,235849,237613,239051,239312,239422,239904,240839,241307,241734,242281,242850,243487,243800,243462,243128,243195,243635,243962,244036,244345,244381,244166,243845,243499,243175,242979
Harris County,100585,100732,100829,100866,100930,101100,101300,101592,101900,101830,101586,101342,101357,101373,101501,101681,101862,101956,102046,102194,102333,102938,103554,104214,104410,104644,104821,105043,105213,105395,105609,105532,105446,105499,106099,106974,107811,108537,109165,109801,110435,110902,111267,111683,112176,112620,112754,112669,112704,112719,112909,113054,113387,113740,114009,114503,114993,115199,115188,114787,114613,114607,114755,114896,114729,114816,115085,115348,115526,115692,115993,116560,117188,117716,118199,118642,119294,119811,120206,120521,120762,121125,121220,121239,121270,121372,121741,121909,122299,122479,122828,123089,123468,123939,124971,126527,127723,128931,129262,130213,130746,131654,132360,133025,133829,134539,135214,135410,135597,135376,135596,135494,135499,135268,135035,135165,135109,135370,135398,135675,135813,136305,136696,137211,137659,138276,138985,139463,139960,140282,140396,140272,140402,140741,141255,141388,141773,142108,142436,142678,142902,142655,142115,141512,141109,140448,139711,139205,138742,138175,137667,136843,135935,135319,135404,135509,135421,135374,135639,136116,136414,136467,136168,136265,136476,136573,136440,136596,136867,136911,136378,135217,133787,132820,132290,132224,131955,131502,130747,129602,128662,127909,127568,127474,127631,127671,127709,126981,126565,126394,126679,126998,126952,127092,127255,127766,128226,128604,128763,129374,130021,130919,131817,133320,135080,136713,137897,139036,140238,141616,143130,144644,145991,147169,148337,149041,149844,150639,152076,153501,155200,156790,158181,159405,160707,161930,162983,164329,165642,166858,167645,168123,168602,169102,169969,170482,170939,171859,172846,173448,173441,173824,174476,175511,176065,176547,176775,177701,178738,179151,179547,180099,181061,181633,182054,182247,182460,182804,183241,183675,184025,184571,185140,185933,187146,188307,189192,189869,190750,191787,192508,193123,193682,194768,195735,196378,196516,196784,197265,197897,198400,198662,199089,199385,199670,199498
Maricopa County,118429,119128,119759,120346,120883,121413,121925,122456,122982,123503,124035,124515,124975,125412,125852,126259,126679,127156,127676,128174,128661,129241,129822,130360,130804,131294,131818,132515,133293,134026,134715,135409,136129,136611,137072,137603,138333,139095,140144,141084,142003,142748,143488,144136,144756,145625,146581,147554,148461,149356,149980,150657,151279,152102,152831,153595,154378,155155,155909,156614,157265,157928,158547,159108,159616,160191,160867,161651,162335,162937,163441,164057,164665,165220,165890,166568,167390,167992,168666,169343,170198,171106,171974,172736,173516,174248,174897,175321,175820,176674,177682,178694,179654,180804,182110,183732,185332,187072,188418,190455,192976,195280,197935,200740,205240,210520,217144,223302,229967,236674,245588,255323,264900,275212,283552,292177,297014,299811,299744,299990,300188,300775,299956,297651,294724,290878,288618,285788,284080,282380,282111,281980,282328,281323,279171,276522,274267,271821,268717,263881,259262,254471,249019,243334,236232,231353,226156,221196,214834,209022,204448,200211,195709,191637,188578,185419,182102,177793,174521,172547,171127,170132,167532,166965,166585,166905,165623,164150,163731,163032,162367,159529,157348,154374,152983,150902,148815,146296,144673,144129,142459,140737,138593,138260,138184,138493,138805,139045,140464,141509,143271,144244,147332,151244,155323,158497,161644,165510,169124,173079,175251,178149,179825,182896,184916,186940,189575,193113,196086,198456,200240,200925,202624,204545,207591,208302,208096,207777,207905,207516,207481,206990,207491,208948,210683,211296,211643,213544,216110,218419,219578,221407,223005,225068,226140,227019,227800,229756,231116,232013,232888,234010,235348,235715,236715,237769,239630,241397,242747,243616,244791,246138,247439,248527,250023,251974,253167,254565,255926,257643,258971,260601,262657,264597,266581,268391,269989,271286,272495,273909,274988,275824,276759,277751,278796,280143,281113,282334,283545,285000,286836,288423,290204,292094,294286,296433
San Diego County,178243,178058,177906,177741,177483,177247,177203,177222,177123,176880,176873,177111,177566,177870,178180,178778,179761,181065,182168,183449,185028,187149,189294,191234,192989,194780,196882,198755,200664,202397,204378,206161,207964,209479,211083,212583,214303,216246,218019,220161,222031,223848,225836,228126,230764,233637,236358,239169,241751,244468,248152,252036,256183,259938,263271,266765,270055,273224,276992,281250,286051,289878,292647,294415,296332,298729,301590,304615,307433,310543,313347,316247,319418,323433,328155,333655,339653,345287,351274,356961,364687,370879,376376,380728,385599,390890,395410,401346,406777,413159,418615,424971,428148,434806,443523,453522,461398,468893,479183,488316,496909,505690,515046,522603,530629,534976,539130,544316,551463,557436,559451,561057,563230,564395,564584,564360,564691,566380,566157,566302,564685,565029,563742,561869,557814,554701,551688,550333,547175,544678,541872,535970,530022,523223,519813,515662,513375,509660,505410,498844,492951,485008,475946,466403,459782,451652,444651,435263,427199,416583,408031,399085,392144,385935,382605,380816,375392,372871,367794,368234,366655,369548,371552,375825,378175,380326,380716,381992,385149,385541,385780,383478,383140,381062,377958,374114,371935,369655,367744,364363,362518,360809,359843,358214,355387,353214,351978,351624,349476,349045,349027,350445,350204,351540,353604,356008,359073,362755,367594,371840,378731,383677,388276,394065,401757,409718,417479,425665,434729,439851,443215,445576,448133,453097,459250,459759,458708,455903,456221,457541,455865,457102,457976,462059,463212,462043,461654,466857,471417,475941,476523,477803,480151,483019,486334,488853,493195,500116,502544,501663,501621,503283,507051,508075,511983,515367,519727,522430,524778,524389,526949,531259,537148,542936,546728,549833,551152,554289,558199,561517,565278,571792,577656,580974,579958,578891,579216,580901,583388,584757,586144,586965,587068,584686,582415,581146,583250,585133,586761,588484,590054,591966,593597,596744,600661,606086
Orange County,207089,206628,206287,206078,205945,205944,206327,206465,207144,207617,207296,207451,207969,209491,210847,212151,213214,214587,215487,217096,218057,219787,222005,224308,226533,228384,230544,232942,236097,238689,241299,243328,245407,247377,249135,251202,253069,254964,256981,258676,259904,261283,263210,265912,268993,271223,273861,276245,279491,282363,285476,288638,291848,294926,298314,301422,304756,308019,311567,314857,318196,321287,323797,326217,328705,332153,335328,338341,341426,344716,348038,351397,355003,359098,364311,370508,377060,382732,388157,394090,401081,407051,412473,416308,421732,427252,432269,437524,444319,453834,463693,474310,480793,490240,501404,516726,529615,543280,558706,572183,581781,586895,592967,598431,607194,615340,621634,628672,635356,643386,647394,655169,663260,674223,681327,687604,695895,701019,707279,708261,712857,714331,715959,713402,713917,713110,714054,710857,706987,706580,706953,705917,700781,694598,689964,681583,670886,656291,645815,640245,632143,620814,603072,591673,577792,566903,555590,549713,544690,541740,534343,523732,513517,506328,505407,501688,499374,497148,495342,494600,493162,494508,497325,502941,507412,508911,507979,507227,511137,513703,514701,510273,507090,503438,499655,494021,489753,488385,487633,485963,481432,475847,473083,472730,472007,468834,466603,466156,466704,464033,461046,459793,459996,462523,463979,468773,474372,480957,486814,491448,495952,504741,515602,528703,539856,551199,561450,567144,572039,577028,583170,589941,596343,600480,602007,599000,597741,595295,595132,595295,595600,597185,598408,600976,602308,603745,606267,609955,614400,616942,619716,623261,627547,631709,635202,636247,639972,642046,645551,647484,648454,651945,653126,657445,660368,661988,662653,665759,667701,672405,674277,678551,680809,683540,687515,689166,690613,693071,696970,702066,707359,710963,714222,716385,720816,723481,726865,727085,727801,725857,727035,727706,728299,726787,725171,723903,723137,723004,722275,724492,726880,731240,733018,734432,736308,740484
Kings County,165625,165353,165313,165448,165508,165617,165668,165784,165940,166437,167493,168723,169793,170497,171100,171610,172263,173012,173913,174959,176105,177053,177382,177747,178142,178897,179555,180138,181077,182105,183402,184680,185935,187061,188278,189400,190649,191974,193631,195838,197912,199869,201642,203183,204896,206390,208247,210224,212765,215329,218067,220655,222678,224695,226657,229206,231609,234032,236304,238495,240591,242689,244621,246444,248906,251583,254437,257151,259933,263417,267069,270364,272743,273689,274833,276289,279297,281741,283918,285046,286744,288061,289976,293195,297871,303670,308930,311373,311356,310207,310571,313062,315732,320549,324511,327757,328061,330072,331883,337377,341636,350466,357227,365279,371176,374156,377433,383303,391588,397742,401562,406757,413480,421310,428997,433832,438820,442649,447399,444780,446205,447782,456728,460689,464882,462591,461898,459198,458838,459180,458615,462549,462571,464357,461375,461023,461338,459992,458658,458369,458309,459491,460317,462585,462268,459713,457072,453387,450055,448710,447062,445353,442684,438703,433375,427806,423874,420917,417032,412800,409358,407020,405363,404899,405042,406858,410767,409287,407817,406181,409688,414542,416477,417481,416620,415483,413261,410900,408474,412394,415787,418810,416721,414569,413895,414300,415799,416633,418021,418543,418551,417053,417008,417342,418646,420205,422043,423327,424650,428008,431735,435654,438461,440269,440866,442257,445309,448084,451216,455921,461144,464969,468303,472207,477971,483311,488741,493196,497291,501362,505570,508001,510385,511602,513736,516130,518823,522412,527693,533779,539304,543735,547327,552276,557021,562676,566651,569200,570924,573333,575347,576793,578601,581119,584282,585707,586219,587716,590930,595873,599727,603335,606615,610033,612424,615113,618451,623982,629989,634432,637857,640426,644223,646607,648408,650259,653673,656965,660305,661554,663839,666709,669607,671048,671122,672374,674424,676044,676506,676397,675434,674912,673181,671151,668855,667280
Miami-Dade County,114746,115003,115466,115920,116340,116463,116629,116851,117154,117206,117420,117666,118164,118558,118848,119143,119409,119732,119873,119975,120115,120898,121513,122016,122016,122194,121923,121717,121629,122483,123516,124464,125094,125136,125119,125056,125392,125826,126689,127465,128331,128303,128389,128520,128828,129333,129966,131014,131934,132633,133260,133894,134383,135088,135767,136645,137542,138505,139452,140273,141175,142308,143546,144945,146447,148191,149930,151684,153250,154732,156224,157759,159448,161152,163071,165202,167417,169307,171135,172874,175492,178281,181314,183977,186817,189232,191360,192986,194831,197069,199530,202205,204144,206447,208774,211878,214693,217793,220951,224641,228579,232439,236752,241376,246708,251547,256484,260773,265004,270195,276659,283398,289913,297061,303612,309042,313403,319197,324398,331109,337410,343463,347082,349948,352254,354273,355171,356958,358021,359178,360354,360066,359544,357324,355584,353465,351428,347945,344988,340493,337684,331016,323792,315258,307513,300199,292438,285169,276827,268616,259990,252354,244128,236397,229089,222311,216020,210181,205894,201383,197835,194433,192247,189900,187453,186291,185557,185336,184535,183653,181997,180490,178759,177386,175101,173309,172360,171138,169976,168746,168244,167514,166647,165969,165641,165441,166045,166520,166854,167521,167742,168171,168207,169268,171160,172874,174822,176855,178799,180350,181453,182942,185758,189223,193092,196006,198212,201035,203648,206289,208397,211918,215681,219164,220854,222266,223329,224954,226718,228496,230295,232154,234918,236217,237611,238029,239656,240948,242567,244396,246161,247489,248760,250350,251473,253430,255282,257871,259948,261915,263876,265184,267223,269488,271728,273518,274894,276365,277814,279699,281306,282581,283577,285349,286876,288213,290008,291361,293391,293694,295111,295750,297867,299767,301859,303643,304825,306123,306901,308173,308628,310872,312196,313937,313590,313824,314190,314472,315115,315656,316290,316757,317520,317615,317772,317801
Dallas County,96318,96670,96895,97020,97200,97353,97670,97975,98381,98483,98618,98534,98665,98720,98936,99216,99493,99856,100185,100469,100643,100988,101363,101822,101948,102201,102424,102802,103090,103476,103394,103456,103390,104010,104784,105726,106631,107387,108207,108913,109579,109812,110507,111138,112056,112329,112751,112913,113149,113274,113609,113994,114367,114905,115370,115875,116304,116695,116413,116424,116535,117072,117005,116988,117192,117512,117786,117933,118144,118314,118755,119028,119489,119873,120627,121362,122000,122625,123132,123645,124131,124245,124254,124015,123957,124071,124353,124601,124782,125017,125414,125719,126013,126924,128737,130942,132489,133079,133168,133487,133999,134322,134703,135364,136041,136997,136723,136547,136141,136469,137132,137589,137985,138300,138068,138030,137671,137597,138135,138517,138979,139159,139381,139272,138966,138887,139764,140194,140634,140373,140132,139967,140133,140423,140563,140703,141119,141558,141564,141787,141974,141679,140299,138871,137679,136952,136196,135912,135346,134433,133151,131341,130148,129560,130304,130846,131108,131010,130714,130480,130289,130683,131054,132020,132136,131952,131197,130688,130627,130394,130393,129606,128878,127495,126693,125664,125642,125594,125297,124499,123438,122649,121851,121361,121037,121030,120781,120459,119590,119203,119597,120478,120810,120783,120736,121439,121969,122442,122627,123094,123674,124552,124929,125380,126056,126971,127979,129008,130159,131448,132604,133586,134508,135017,135792,136376,136910,137552,138390,138082,138340,138605,139927,140958,141989,143080,144004,145125,146822,148560,150084,151957,153226,154520,155408,156791,158288,158789,159172,159527,160770,162291,164163,166506,168558,170483,172241,174112,175650,177028,178609,180331,181961,183370,184318,185031,185053,185817,186938,188737,190574,192962,195550,197887,199673,201576,203568,205473,207767,208616,209874,210384,212045,213114,214172,215213,216131,216905,217636,218255,218859,220037,220569,221088,220577,220131
Queens County,166246,166190,166050,165998,165953,165946,166097,166215,166494,166760,167512,168193,168934,169300,169873,170492,171249,172040,172754,173743,174653,175773,176330,176810,177109,177741,178456,179118,179916,180819,181932,182933,184008,184940,186128,187353,189083,190926,192948,195159,197073,199071,200574,202135,203608,205367,207742,210569,213046,215052,216736,218660,220956,223359,226263,228894,231247,233106,235122,238004,241145,244207,246172,247953,249457,250530,251514,252989,255172,257561,258654,257699,256536,256223,257842,259809,261831,263961,265550,266852,268108,269457,271389,273788,276048,277731,279568,280558,281937,283253,285411,287467,288961,291339,293861,296911,299862,303082,307173,310987,314577,317747,321952,327705,332720,336877,340165,343854,349160,354192,358067,363066,367650,373189,378655,384905,392376,397766,402571,404973,406747,409020,412219,414706,417620,420104,417379,410596,404111,401831,403070,407692,409894,412133,409602,408516,406798,405513,407274,408876,411007,411093,409324,404900,401393,397146,394708,391538,388265,384180,380725,377755,373737,368999,364501,361250,358046,354515,351334,348076,345538,343285,340694,340259,340168,340373,339452,337938,337521,337714,339306,340233,340956,342072,343615,343361,342172,341699,342106,343415,343117,343129,341517,340818,340460,340007,338735,337387,337299,337406,337425,336208,336010,335945,337351,338267,338606,338924,339919,341749,343125,343636,344175,345722,347679,349937,351838,353930,356111,357858,360138,362279,364583,367602,371126,374657,377215,378782,379512,380818,382623,385666,387664,389986,392189,394355,396239,398251,400667,403225,406786,409750,412868,414628,416939,418988,421649,424098,426845,428898,431935,434890,437879,440780,443420,446862,449958,453553,456535,459966,462106,464584,466068,468789,471136,473794,476638,479648,483672,486682,489099,490843,493447,496624,500809,504585,509053,513270,516851,520088,521725,523715,525562,527173,528927,529968,530538,530619,530179,529730,529596,529354,529670,529892,530385,531049
