,,Labor_force_participation,emp_population_ratio,unemp_rate
1996,M01,66.4,62.7,5.6
1996,M02,66.6,62.9,5.5
1996,M03,66.6,63.0,5.5
1996,M04,66.7,63.0,5.6
1996,M05,66.7,63.0,5.6
1996,M06,66.7,63.2,5.3
1996,M07,66.9,63.3,5.5
1996,M08,66.7,63.3,5.1
1996,M09,66.9,63.4,5.2
1996,M10,67.0,63.5,5.2
1996,M11,67.0,63.4,5.4
1996,M12,67.0,63.4,5.4
1997,M01,67.0,63.4,5.3
1997,M02,66.9,63.4,5.2
1997,M03,67.1,63.6,5.2
1997,M04,67.1,63.7,5.1
1997,M05,67.1,63.8,4.9
1997,M06,67.1,63.7,5.0
1997,M07,67.2,63.9,4.9
1997,M08,67.2,63.9,4.8
1997,M09,67.1,63.9,4.9
1997,M10,67.1,63.9,4.7
1997,M11,67.2,64.1,4.6
1997,M12,67.2,64.0,4.7
1998,M01,67.1,64.0,4.6
1998,M02,67.1,64.0,4.6
1998,M03,67.1,64.0,4.7
1998,M04,67.0,64.1,4.3
1998,M05,67.0,64.1,4.4
1998,M06,67.0,64.0,4.5
1998,M07,67.0,64.0,4.5
1998,M08,67.0,63.9,4.5
1998,M09,67.2,64.2,4.6
1998,M10,67.2,64.1,4.5
1998,M11,67.1,64.2,4.4
1998,M12,67.2,64.3,4.4
1999,M01,67.2,64.4,4.3
1999,M02,67.2,64.2,4.4
1999,M03,67.0,64.2,4.2
1999,M04,67.1,64.2,4.3
1999,M05,67.1,64.3,4.2
1999,M06,67.1,64.2,4.3
1999,M07,67.1,64.2,4.3
1999,M08,67.0,64.2,4.2
1999,M09,67.0,64.2,4.2
1999,M10,67.0,64.3,4.1
1999,M11,67.1,64.4,4.1
1999,M12,67.1,64.4,4.0
2000,M01,67.3,64.6,4.0
2000,M02,67.3,64.6,4.1
2000,M03,67.3,64.6,4.0
2000,M04,67.3,64.7,3.8
2000,M05,67.1,64.4,4.0
2000,M06,67.1,64.5,4.0
2000,M07,66.9,64.2,4.0
2000,M08,66.9,64.2,4.1
2000,M09,66.9,64.2,3.9
2000,M10,66.8,64.2,3.9
2000,M11,66.9,64.3,3.9
2000,M12,67.0,64.4,3.9
2001,M01,67.2,64.4,4.2
2001,M02,67.1,64.3,4.2
2001,M03,67.2,64.3,4.3
2001,M04,66.9,64.0,4.4
2001,M05,66.7,63.8,4.3
2001,M06,66.7,63.7,4.5
2001,M07,66.8,63.7,4.6
2001,M08,66.5,63.2,4.9
2001,M09,66.8,63.5,5.0
2001,M10,66.7,63.2,5.3
2001,M11,66.7,63.0,5.5
2001,M12,66.7,62.9,5.7
2002,M01,66.5,62.7,5.7
2002,M02,66.8,63.0,5.7
2002,M03,66.6,62.8,5.7
2002,M04,66.7,62.7,5.9
2002,M05,66.7,62.9,5.8
2002,M06,66.6,62.7,5.8
2002,M07,66.5,62.7,5.8
2002,M08,66.6,62.7,5.7
2002,M09,66.7,63.0,5.7
2002,M10,66.6,62.7,5.7
2002,M11,66.4,62.5,5.9
2002,M12,66.3,62.4,6.0
2003,M01,66.4,62.5,5.8
2003,M02,66.4,62.5,5.9
2003,M03,66.3,62.4,5.9
2003,M04,66.4,62.4,6.0
2003,M05,66.4,62.3,6.1
2003,M06,66.5,62.3,6.3
2003,M07,66.2,62.1,6.2
2003,M08,66.1,62.1,6.1
2003,M09,66.1,62.0,6.1
2003,M10,66.1,62.1,6.0
