RegionName,California,Texas,New York,Florida,Illinois,Pennsylvania,Ohio,Michigan,Georgia,North Carolina,New Jersey,Virginia,Washington,Massachusetts,Indiana,Arizona,Tennessee,Missouri,Maryland,Wisconsin,Minnesota,Colorado,Alabama,South Carolina,Louisiana,Kentucky,Oregon,Oklahoma,Connecticut,Iowa,Mississippi,Arkansas,Kansas,Utah,Nevada,New Mexico,West Virginia,Nebraska,Idaho,Hawaii,Maine,New Hampshire,Rhode Island,Montana,Delaware,South Dakota,Alaska,North Dakota,Vermont,District of Columbia,Wyoming
Apr-96,92924,53373,62571,57095,67572,48924,47000,43183,53139,56925,92916,65098,88246,93454,50711,68701,44583,44195,87369,59966,59236,88089,35274,48249,41177,36803,84475,29526,86733,41714,38285,29970,37219,105476,102252,,26340,46106,73557,141239,56171,64151,83923,,80881,52580,74755,,65405,93748,
May-96,92641,53388,62416,57128,67581,48790,47139,43444,53293,57087,92725,65031,88316,93575,50891,69036,44803,44295,87246,60120,59209,88513,35329,48363,41276,36912,84887,29641,86531,41795,38379,30038,37326,105808,102210,,26393,46196,73455,140226,56049,64193,83628,,80803,52312,74806,,65222,93046,
Jun-96,92409,53430,62262,57182,67759,48721,47269,43667,53490,57326,92564,64970,88506,93852,51067,69311,45048,44384,87142,60393,59343,88945,35416,48546,41383,37029,85355,29725,86495,41871,38549,30087,37459,106182,102153,,26406,46545,73381,139097,55889,64427,83353,,80961,52376,75213,,65049,92363,
Jul-96,92352,53457,62131,57246,67809,48683,47391,43851,53692,57620,92470,64919,88792,94156,51164,69605,45316,44474,87108,60705,59550,89415,35560,48602,41470,37154,85917,29814,86611,41973,38769,30151,37576,106582,102159,,26380,46902,73396,138133,55738,64747,83158,,81468,52576,75469,,64902,91913,
Aug-96,92388,53552,62074,57307,67949,48748,47547,44043,53890,57978,92403,64961,89025,94653,51298,69895,45564,44541,87104,61048,59843,89955,35754,48724,41710,37292,86436,29902,86887,42074,38915,30251,37724,106979,102534,,26373,47350,73431,137334,55798,65048,83107,,81943,52728,75755,,64827,91698,
Sep-96,92493,53697,62093,57370,68191,48824,47718,44273,54083,58266,92381,65032,89314,95021,51504,70198,45773,44653,87184,61381,60143,90559,35885,48771,41952,37428,86940,29995,86934,42177,38998,30348,37815,107319,103068,,26403,47624,73551,136734,55993,65313,83292,,82526,52822,75883,,64779,91629,
Oct-96,92584,53895,62157,57476,68497,48980,47892,44500,54271,58553,92430,65199,89635,95475,51725,70499,45955,44777,87309,61725,60471,91156,36006,48955,42239,37563,87491,30118,86834,42294,39057,30497,37932,107732,103580,,26458,47908,73683,135945,56395,65526,83566,,83023,52849,75920,,64759,91615,
Nov-96,92620,54056,62220,57612,68792,49130,48083,44782,54499,58852,92624,65315,90046,95845,51887,70821,46160,44932,87450,62038,60802,91726,36045,49130,42414,37742,88122,30239,86535,42470,39171,30593,38004,108123,103727,,26539,48169,73850,135384,56568,65710,83825,,83316,53116,75904,,64892,91628,
Dec-96,92684,54208,62285,57771,69067,49311,48284,45088,54740,59173,92928,65443,90444,96227,51999,71184,46381,45046,87556,62340,61078,92270,36140,49348,42676,37941,88803,30361,86645,42734,39280,30702,38086,108535,104090,,26605,48282,74056,134923,56678,65955,83974,,83483,53329,76035,,65098,91699,
Jan-97,92834,54312,62367,57943,69306,49444,48500,45386,54999,59518,93290,65560,90860,96394,52084,71557,46614,45142,87659,62626,61342,92810,36165,49543,42898,38133,89491,30449,86657,42918,39335,30788,38117,109009,104573,,26689,48393,74315,134583,56609,66227,84378,,83569,53666,76056,,65477,91841,
