RegionName,California,Texas,New York,Florida,Illinois,Pennsylvania,Ohio,Michigan,Georgia,North Carolina,New Jersey,Virginia,Washington,Massachusetts,Indiana,Arizona,Tennessee,Missouri,Maryland,Wisconsin,Minnesota,Colorado,Alabama,South Carolina,Louisiana,Kentucky,Oregon,Oklahoma,Connecticut,Iowa,Mississippi,Arkansas,Kansas,Utah,Nevada,New Mexico,West Virginia,Nebraska,Idaho,Hawaii,Maine,New Hampshire,Rhode Island,Montana,Delaware,South Dakota,Alaska,North Dakota,Vermont,District of Columbia,Wyoming
Apr-96,288908,185094,292575,184824,249254,175462,168276,174630,189409,202409,282444,223977,235032,267728,192145,183057,172597,153671,248947,166230,170322,231328,157945,182928,155989,139199,212644,124647,279251,147193,128178,132684,145802,259996,240547,,123185,142668,212876,451325,180636,175751,209456,,206925,,194960,,184390,293901,
May-96,287953,185071,291811,184863,248932,174830,168593,175602,189834,202790,281670,223367,235034,268229,189459,183777,173337,153860,248394,166422,170096,231972,158061,183160,156254,139528,213393,125049,278643,147390,128424,132854,146192,260944,240342,,123295,142946,212363,446303,180020,175849,208611,,206646,,195074,,183761,291454,
Jun-96,287343,185125,290943,184955,249348,174426,168938,176528,190429,203524,280916,222856,235567,269209,186271,184315,174158,154008,247893,167107,170254,232677,158213,183541,156647,139887,214285,125352,278481,147561,128862,132934,146640,261717,240177,,123231,143850,211837,440871,179274,176315,207876,,207078,,195972,,183240,288834,
Jul-96,287420,185157,290077,185079,249432,174220,169285,177325,191039,204323,280439,222442,236455,270399,182653,184902,175034,154327,247541,167953,170719,233541,158592,183684,156872,140290,215449,125685,278822,147870,129454,133062,147046,262714,240139,,123002,144824,211671,436278,178615,177136,207464,,208138,,196211,,182735,286645,
Aug-96,287937,185353,289687,185194,249944,174329,169752,178250,191660,205351,280110,222448,237383,272114,181867,185532,175862,154817,247362,168907,171455,234445,159289,184251,157815,140745,216604,125964,279484,148112,129844,133395,147601,263573,240880,,122890,145901,211587,432774,178468,177797,207276,,209081,,196805,,182284,285312,
Sep-96,288699,185724,289759,185312,250868,174537,170289,179242,192264,206151,279987,222669,238366,273156,182490,186229,176539,155557,247458,169841,172320,235533,159768,184677,158549,141180,217869,126241,279602,148438,130108,133754,148038,264496,241945,,122921,146558,211816,430184,178851,178472,207693,,210296,,197207,,181975,284688,
Oct-96,289390,186326,290112,185570,252057,174980,170868,180239,192890,207059,280105,223312,239399,274405,182333,186916,177145,156255,247840,170828,173225,236550,160176,185437,159614,141615,219248,126590,279291,148818,130346,134322,148630,265481,243056,,123037,147335,212326,427174,179920,178997,208329,,211527,,197526,,181772,284284,
Nov-96,289824,186754,290517,185920,253170,175441,171497,181416,193624,207948,280641,223708,240606,275329,182008,187646,177846,156833,248186,171731,174160,237661,160305,186041,160199,142162,220789,126968,278514,149393,130757,134637,149005,266399,243517,,123267,148147,212955,424800,180413,179516,208837,,212234,,197658,,181919,284032,
Dec-96,290305,187190,290983,186353,254167,175972,172117,182650,194417,208899,281460,224016,241752,276312,180791,188477,178572,157329,248483,172572,174905,238715,160558,186852,161204,142760,222344,127359,278807,150016,131136,134976,149354,267330,244446,,123485,148646,213647,422881,180611,180206,209065,,212548,,197908,,182023,283899,
Jan-97,291132,187449,291624,186788,255021,176375,172770,183801,195234,209942,282462,224166,242990,276458,180326,189335,179295,157702,248684,173310,175583,239771,160757,187491,161850,143374,223959,127630,278869,150512,131324,135195,149475,268325,245539,,123871,148994,214293,421329,180306,180841,209747,,212657,,198001,,182620,284369,
Feb-97,291786,187657,292655,187174,255722,176528,173287,184921,195948,210852,282920,224368,243981,276303,179741,190080,179969,157949,248874,173869,176216,240511,160947,188107,162415,143752,225362,127890,279833,150743,131540,135622,149891,269195,246587,,124348,149373,214923,419426,180438,181681,209646,,213025,,198283,,182641,285268,
Mar-97,292418,187635,293658,187453,255990,176544,173712,186024,196598,211802,283320,224369,245011,276117,180139,190541,180585,158141,248863,174272,176847,241114,161259,188667,162643,144088,226582,128077,278769,150790,131735,136050,150338,269561,246632,,124934,150138,214995,417086,180715,182497,209463,,213294,,198497,,182744,286483,
Apr-97,292739,187494,294360,187649,255966,176502,174026,187047,197147,212539,283443,224217,246080,276540,180243,190884,181159,158362,248470,174447,177374,241755,161845,189258,163005,144273,227413,128333,277930,150694,132062,136528,151385,269489,246717,,125554,150821,214610,414409,181239,183286,208683,,213466,,198562,,182285,286764,
May-97,293774,187364,294492,187865,256529,176577,174373,187756,197744,213290,284059,224059,247569,277584,180009,191194,181667,158727,247967,174599,177797,242631,162526,189946,163590,144650,228237,128644,276903,150667,132413,136925,152517,269682,246758,,125912,151474,214586,412388,181815,183730,209051,,213438,,198881,,182302,286483,
Jun-97,295161,187464,294718,188057,256813,176727,174778,188217,198340,214116,284826,224097,248569,279176,179812,191501,182124,159149,247658,174614,178228,243575,163247,190666,164101,145084,229048,129127,276733,150754,132827,137186,153491,270275,247019,,126103,152053,215186,410310,182513,184008,209794,,213381,,199013,,183022,286030,
Jul-97,297376,187655,295238,188288,257023,176982,175254,188928,199111,215052,285742,224264,249728,280780,179771,191894,182648,159663,247815,174731,178933,244493,163896,191475,164558,145602,229985,129567,277333,151026,133281,137296,154357,271084,247193,,126113,152699,216362,408566,183171,184369,210582,,213500,,199393,,184207,286300,
Aug-97,299727,187990,296061,188584,253176,177253,175685,189975,200008,216116,286416,224563,250518,282580,180584,192445,183208,160183,248143,174955,179717,245418,164632,192364,165218,146081,230948,130046,277972,151360,133713,137548,155055,271961,247315,,126422,153464,217141,405715,183959,185104,211015,,213907,,200290,,185180,286764,
Sep-97,302322,188378,297011,189049,248322,177649,176145,191351,201023,217238,287009,224942,251889,284268,181108,193129,183925,160775,248488,175496,180740,246581,165360,193581,165923,146597,232111,130574,279421,151712,134252,137990,155808,272790,247835,,126972,154136,218051,403663,184820,186030,210921,,214266,,201388,,185894,286931,
Oct-97,304266,188874,297874,189555,240602,178077,176625,192661,201977,217913,287645,225457,253202,285923,182215,193752,184629,161241,248958,176159,181712,247881,166158,194876,166669,147230,232926,131280,280240,151723,134828,138528,156265,273855,248384,,127666,154992,218925,401871,185680,187042,210958,,214623,,202668,,185714,287428,
Nov-97,306208,189302,299226,190183,234839,178660,177204,193901,202929,218519,288930,226066,254723,287282,183107,194492,185369,161701,249515,176797,182693,249236,167049,196285,167312,147843,233820,131924,281015,151591,135384,139116,156621,274159,249215,,128318,155696,220043,401192,186438,188056,211313,,214940,,203055,,185826,288199,
Dec-97,308103,189750,300631,190786,230734,179276,177805,194966,203822,218961,290441,226637,256226,288881,184216,195325,186094,162114,249681,177334,183602,250479,167914,197607,168025,148440,234530,132459,281523,151219,135873,139569,157092,274533,250097,,128948,156566,220760,400246,187241,188998,211932,,215531,,203427,,185516,289664,
Jan-98,311067,190704,302602,192312,229430,179952,178515,195609,205338,219555,291566,227649,258359,291397,185155,196479,187215,162729,250228,177589,184613,251739,168829,198496,167360,148771,235673,132971,283897,151699,136469,139874,157453,275018,251357,,128038,157376,221005,398182,186524,189893,212857,,216139,,202384,,185684,292424,
Feb-98,314042,191559,303665,193514,229451,180417,179154,196310,206606,219932,292034,228466,260293,293889,185293,197426,188165,163395,250602,177997,185456,252771,169569,199069,166650,149046,236412,133400,285834,152252,137444,139865,157757,276120,252229,,126941,158059,220657,395738,185546,190862,213401,,216520,,201580,,185816,294394,
Mar-98,316802,192249,304586,194510,229168,180639,179673,196890,207743,220221,292011,229103,261999,296381,185593,198226,188982,163918,251262,178367,186067,253641,170211,199534,166017,149304,236787,133803,287613,153054,138302,139865,157994,276965,252589,,125731,158502,220429,394254,184322,191964,213711,,216439,,200816,,186381,296218,
Apr-98,318733,192137,304880,194374,228974,180577,179973,197721,208157,220647,292173,229019,262836,297962,185847,198705,189293,164279,251066,178882,186284,254213,170642,200267,166539,149844,236695,134058,287397,153450,139092,139780,158264,277271,252292,221069,125797,158479,220188,394034,184495,193003,213348,,216321,,201816,,187082,296263,201968
May-98,320730,192202,305421,194430,228847,180434,180279,198285,208896,221358,292406,229198,263932,299625,185063,199221,189737,164571,250784,179095,186695,255049,171068,201260,167861,150479,236790,134418,287710,153872,139731,139976,158629,277243,252000,222210,126049,158894,220014,395264,184786,193851,213134,,216066,,202086,,187641,297251,202859
Jun-98,323189,192371,305938,194406,229083,180287,180662,199037,209833,222272,292935,229581,265249,301703,183183,199787,190242,164985,250499,179328,187145,256141,171626,202181,169489,151146,237055,134848,288236,154266,140389,140409,159256,277249,252478,222851,126365,159606,219516,396341,185112,194726,213233,,216121,,202613,,188159,298356,204637
Jul-98,326156,192803,306383,194557,230320,180264,181144,199978,210976,223302,293730,230168,267024,304113,181202,200629,190699,165503,250464,179712,188016,257896,172286,203349,171650,151724,237605,135344,289125,154803,141306,141063,159955,277272,253023,223439,126825,160658,219200,398446,185301,195818,213692,,216164,,202795,,188583,299841,207074
Aug-98,329459,193217,307538,194880,232675,180668,181709,201185,211984,224144,294719,230853,269143,306683,180894,201726,191221,166093,250764,180455,189067,259884,173002,204364,172916,152314,238316,135967,290298,155386,142028,141714,160670,277382,253723,223429,127263,161548,218825,398840,186061,197221,214511,,216432,,203396,,189437,302135,209046
Sep-98,332911,193672,309146,195691,235988,181289,182367,202550,212991,224958,295955,231570,272111,309506,181436,202820,191851,166509,251356,181361,190710,262091,173718,205426,173890,152901,239150,136620,291827,156112,142822,142195,161285,277744,254141,223523,128082,162496,219059,398774,187089,198785,215455,,216988,,203956,,190047,304733,209298
Oct-98,335850,193926,311284,196769,239619,182126,183155,203988,213989,225783,297424,232393,274799,311942,181681,203821,192662,166971,251982,182192,192333,264025,174419,206275,174555,153602,240173,137405,293564,156578,142249,142694,162001,278154,254779,224169,128727,163379,219636,397583,188660,200393,216536,,217755,,204569,,190689,308046,209295
